reg;semaine_glissante;pop;P;T;nom_region
01;2021-03-24-2021-03-30;376879;408;4749;Guadeloupe
01;2021-03-25-2021-03-31;376879;420;4742;Guadeloupe
01;2021-03-26-2021-04-01;376879;444;4732;Guadeloupe
01;2021-03-27-2021-04-02;376879;391;4184;Guadeloupe
01;2021-03-28-2021-04-03;376879;415;4300;Guadeloupe
01;2021-03-29-2021-04-04;376879;420;4346;Guadeloupe
01;2021-03-30-2021-04-05;376879;377;3573;Guadeloupe
01;2021-03-31-2021-04-06;376879;394;3882;Guadeloupe
01;2021-04-01-2021-04-07;376879;423;4009;Guadeloupe
01;2021-04-02-2021-04-08;376879;487;4233;Guadeloupe
01;2021-04-03-2021-04-09;376879;575;5159;Guadeloupe
02;2020-05-13-2020-05-19;358749;11;835;Martinique
02;2020-05-14-2020-05-20;358749;11;967;Martinique
02;2020-05-15-2020-05-21;358749;7;753;Martinique
02;2020-05-16-2020-05-22;358749;7;608;Martinique
02;2020-05-17-2020-05-23;358749;6;640;Martinique
02;2020-05-18-2020-05-24;358749;6;633;Martinique
02;2020-05-19-2020-05-25;358749;5;650;Martinique
02;2020-05-20-2020-05-26;358749;6;693;Martinique
02;2020-05-21-2020-05-27;358749;2;671;Martinique
02;2020-05-22-2020-05-28;358749;4;789;Martinique
02;2020-05-23-2020-05-29;358749;5;982;Martinique
02;2020-05-24-2020-05-30;358749;5;968;Martinique
02;2020-05-25-2020-05-31;358749;5;971;Martinique
02;2020-05-26-2020-06-01;358749;4;758;Martinique
02;2020-05-27-2020-06-02;358749;4;709;Martinique
02;2020-05-28-2020-06-03;358749;5;714;Martinique
02;2020-05-29-2020-06-04;358749;6;763;Martinique
02;2020-05-30-2020-06-05;358749;9;812;Martinique
02;2020-05-31-2020-06-06;358749;9;829;Martinique
02;2020-06-01-2020-06-07;358749;9;827;Martinique
02;2020-06-02-2020-06-08;358749;12;1091;Martinique
02;2020-06-03-2020-06-09;358749;15;1168;Martinique
02;2020-06-04-2020-06-10;358749;15;1174;Martinique
02;2020-06-05-2020-06-11;358749;14;1201;Martinique
02;2020-06-06-2020-06-12;358749;11;1230;Martinique
02;2020-06-07-2020-06-13;358749;16;1282;Martinique
02;2020-06-08-2020-06-14;358749;17;1284;Martinique
02;2020-06-09-2020-06-15;358749;16;1320;Martinique
02;2020-06-10-2020-06-16;358749;13;1332;Martinique
02;2020-06-11-2020-06-17;358749;13;1382;Martinique
02;2020-06-12-2020-06-18;358749;13;1402;Martinique
02;2020-06-13-2020-06-19;358749;14;1411;Martinique
02;2020-06-14-2020-06-20;358749;9;1395;Martinique
02;2020-06-15-2020-06-21;358749;8;1392;Martinique
02;2020-06-16-2020-06-22;358749;8;1374;Martinique
02;2020-06-17-2020-06-23;358749;9;1445;Martinique
02;2020-06-18-2020-06-24;358749;9;1533;Martinique
02;2020-06-19-2020-06-25;358749;10;1571;Martinique
02;2020-06-20-2020-06-26;358749;10;1613;Martinique
02;2020-06-21-2020-06-27;358749;10;1651;Martinique
02;2020-06-22-2020-06-28;358749;10;1660;Martinique
02;2020-06-23-2020-06-29;358749;9;1734;Martinique
02;2020-06-24-2020-06-30;358749;9;1740;Martinique
02;2020-06-25-2020-07-01;358749;9;1662;Martinique
02;2020-06-26-2020-07-02;358749;7;1709;Martinique
02;2020-06-27-2020-07-03;358749;6;1660;Martinique
02;2020-06-28-2020-07-04;358749;7;1713;Martinique
02;2020-06-29-2020-07-05;358749;7;1711;Martinique
02;2020-06-30-2020-07-06;358749;9;1636;Martinique
02;2020-07-01-2020-07-07;358749;7;1665;Martinique
02;2020-07-02-2020-07-08;358749;6;1789;Martinique
02;2020-07-03-2020-07-09;358749;6;1903;Martinique
02;2020-07-04-2020-07-10;358749;6;2099;Martinique
02;2020-07-05-2020-07-11;358749;5;2129;Martinique
02;2020-07-06-2020-07-12;358749;5;2124;Martinique
02;2020-07-07-2020-07-13;358749;5;2440;Martinique
02;2020-07-08-2020-07-14;358749;5;2124;Martinique
02;2020-07-09-2020-07-15;358749;8;2293;Martinique
02;2020-07-10-2020-07-16;358749;9;2381;Martinique
02;2020-07-11-2020-07-17;358749;8;2398;Martinique
02;2020-07-12-2020-07-18;358749;8;2384;Martinique
02;2020-07-13-2020-07-19;358749;8;2397;Martinique
02;2020-07-14-2020-07-20;358749;7;2139;Martinique
02;2020-07-15-2020-07-21;358749;8;2481;Martinique
02;2020-07-16-2020-07-22;358749;7;2240;Martinique
02;2020-07-17-2020-07-23;358749;5;2069;Martinique
02;2020-07-18-2020-07-24;358749;7;1866;Martinique
02;2020-07-19-2020-07-25;358749;7;1838;Martinique
02;2020-07-20-2020-07-26;358749;8;1859;Martinique
02;2020-07-21-2020-07-27;358749;7;1883;Martinique
02;2020-07-22-2020-07-28;358749;8;1908;Martinique
02;2020-07-23-2020-07-29;358749;8;2003;Martinique
02;2020-07-24-2020-07-30;358749;12;2068;Martinique
02;2020-07-25-2020-07-31;358749;19;2129;Martinique
02;2020-07-26-2020-08-01;358749;19;2124;Martinique
02;2020-07-27-2020-08-02;358749;18;2130;Martinique
02;2020-07-28-2020-08-03;358749;28;2305;Martinique
02;2020-07-29-2020-08-04;358749;54;2374;Martinique
02;2020-07-30-2020-08-05;358749;62;2482;Martinique
02;2020-07-31-2020-08-06;358749;67;2681;Martinique
02;2020-08-01-2020-08-07;358749;64;2984;Martinique
02;2020-08-02-2020-08-08;358749;68;3177;Martinique
02;2020-08-03-2020-08-09;358749;69;3177;Martinique
02;2020-08-04-2020-08-10;358749;78;3507;Martinique
02;2020-08-05-2020-08-11;358749;80;3792;Martinique
02;2020-08-06-2020-08-12;358749;90;4145;Martinique
02;2020-08-07-2020-08-13;358749;105;4498;Martinique
02;2020-08-08-2020-08-14;358749;128;4872;Martinique
02;2020-08-09-2020-08-15;358749;124;4623;Martinique
02;2020-08-10-2020-08-16;358749;125;4660;Martinique
02;2020-08-11-2020-08-17;358749;157;4824;Martinique
02;2020-08-12-2020-08-18;358749;158;5083;Martinique
02;2020-08-13-2020-08-19;358749;157;5279;Martinique
02;2020-08-14-2020-08-20;358749;162;5519;Martinique
02;2020-08-15-2020-08-21;358749;168;5667;Martinique
02;2020-08-16-2020-08-22;358749;177;6106;Martinique
02;2020-08-17-2020-08-23;358749;175;6087;Martinique
02;2020-08-18-2020-08-24;358749;148;6109;Martinique
02;2020-08-19-2020-08-25;358749;141;6068;Martinique
02;2020-08-20-2020-08-26;358749;152;5889;Martinique
02;2020-08-21-2020-08-27;358749;139;5814;Martinique
02;2020-08-22-2020-08-28;358749;133;5695;Martinique
02;2020-08-23-2020-08-29;358749;132;5460;Martinique
02;2020-08-24-2020-08-30;358749;132;5447;Martinique
02;2020-08-25-2020-08-31;358749;157;5234;Martinique
02;2020-08-26-2020-09-01;358749;163;5083;Martinique
02;2020-08-27-2020-09-02;358749;175;5049;Martinique
02;2020-08-28-2020-09-03;358749;200;4937;Martinique
02;2020-08-29-2020-09-04;358749;216;4765;Martinique
02;2020-08-30-2020-09-05;358749;216;4685;Martinique
02;2020-08-31-2020-09-06;358749;216;4651;Martinique
02;2020-09-01-2020-09-07;358749;195;4538;Martinique
02;2020-09-02-2020-09-08;358749;191;4414;Martinique
02;2020-09-03-2020-09-09;358749;182;4349;Martinique
02;2020-09-04-2020-09-10;358749;183;4407;Martinique
02;2020-09-05-2020-09-11;358749;179;4540;Martinique
02;2020-09-06-2020-09-12;358749;181;4588;Martinique
02;2020-09-07-2020-09-13;358749;181;4565;Martinique
02;2020-09-08-2020-09-14;358749;191;4690;Martinique
